fishNum,species,n_pings,n_tracks,n_targets,ping_number_min,ping_number_max,ts_mean_avg,ts_mean_sd,ts_mean_min,ts_mean_median,ts_mean_max
LT001,lakeTrout,66,66,66,770,5121,-41.206311348484846,5.444411972362185,-47.881438,-44.738615,-34.911075
LT002,lakeTrout,750,750,750,659,15669,-40.362321004,5.100441350994724,-52.688872,-38.912012,-31.885836
LT003,lakeTrout,668,668,668,414,14896,-37.25393383083832,3.6678718363793195,-47.933339,-35.940398,-31.139393
LT004,lakeTrout,463,463,463,666,13887,-34.80160063282938,3.5901606080287514,-46.059399,-33.22495,-27.713006
LT005,lakeTrout,309,309,309,4924,18479,-54.41294163106796,2.646741929141778,-56.738523,-55.202578,-37.287196
LT006,lakeTrout,140,140,140,249,5704,-32.84890374285714,3.4874314995853903,-38.555568,-35.020637,-25.519105
LT007,lakeTrout,355,355,355,176,12659,-37.52569966478873,6.727438577204698,-49.875665,-36.156411,-26.951121
LT008,lakeTrout,183,183,183,0,14267,-46.54802007103825,4.509452944070403,-52.973491,-47.866246,-34.93041
LT009,lakeTrout,320,320,320,712,13699,-51.379066781249996,2.1990763948213203,-56.497379,-51.024237,-48.356934
LT010,lakeTrout,16,16,16,2824,10169,-53.112715,0.6821846734811131,-54.929365,-53.232523,-52.123061
LT011,lakeTrout,284,284,284,330,7025,-39.202959137323944,3.985356938345682,-50.504127,-38.541784,-33.430301
LT012,lakeTrout,170,170,170,30,5167,-41.50466155294117,3.9945993079405477,-50.509674,-39.287358,-37.386246
LT013,lakeTrout,32,32,32,3368,7075,-47.511856125,0.8911413489138417,-48.350739,-47.872317,-46.469805
LT014,lakeTrout,1379,1379,1379,54,16649,-52.30541049891226,0.9898192281530822,-56.158958,-52.308179,-44.860009
LT015,lakeTrout,32,32,32,5831,10542,-40.774357125,5.163922823305899,-50.510151,-37.374129,-37.374129
LT016,lakeTrout,1064,1064,1064,76,12181,-50.907123641917295,2.876125569841145,-55.028738,-52.212867,-36.603376
LT017,lakeTrout,403,403,403,929,6486,-50.58262777171216,3.4488061009373014,-55.732666,-51.155205,-37.573855
LT018,lakeTrout,60,60,60,898,2661,-53.92023756666667,0.8404392658618992,-55.708592,-53.444302,-53.165272
LT019,lakeTrout,209,209,209,976,7116,-47.35111758851674,2.3474897227860825,-52.026174,-47.651884,-44.45683
LT020,lakeTrout,213,213,213,1537,8785,-48.15393559624413,5.364001961101743,-53.675277,-49.860958,-33.405692
LT021,lakeTrout,132,132,132,1548,9792,-50.27404333333333,1.3633729190685626,-52.572606,-51.177564,-48.043919
LWF001,lakeWhitefish,703,703,703,669,14106,-37.5716470398293,2.6670818573087796,-44.43112,-36.282257,-35.255654
LWF002,lakeWhitefish,53,53,53,0,15544,-48.627783566037735,2.637329259203942,-53.570862,-47.774766,-46.194281
LWF003,lakeWhitefish,33,33,33,2843,6244,-51.041592606060604,4.151258947406232,-56.388756,-53.443231,-44.43728
LWF007,lakeWhitefish,103,103,103,1674,16086,-42.195735951456314,8.376912115919481,-53.091633,-46.921287,-30.01601
LWF009,lakeWhitefish,310,310,310,8985,9829,-44.823890603225806,3.7855335388169293,-50.64144,-42.363715,-41.069588
LWF010,lakeWhitefish,349,349,349,174,8015,-42.60076446418338,3.7243536302639915,-49.992276,-42.189653,-37.53947
LWF011,lakeWhitefish,314,314,314,98,8415,-47.82959301910828,5.7699930623912294,-54.806644,-48.422515,-34.594642
LWF012,lakeWhitefish,283,283,283,152,8505,-40.71263691166077,3.1012587647402245,-49.350098,-39.849422,-37.170652
LWF013,lakeWhitefish,422,422,422,350,6688,-43.97447580805687,3.429793837114927,-55.837734,-43.998422,-37.186664
LWF014,lakeWhitefish,1619,1619,1619,1345,7815,-44.94185418838789,3.2660844132737568,-51.964913,-45.766719,-39.263674
LWF015,lakeWhitefish,69,69,96,3390,10213,-43.23982497916666,5.237786213186496,-48.96321,-44.507321,-35.769023
SMB001,smallmouthBass,446,446,446,336,9941,-48.52316029372197,1.3423404756856647,-50.167071,-48.036673,-46.040093
SMB002,smallmouthBass,316,316,316,177,4173,-50.696720908227846,0.6639986107710943,-52.476513,-50.70787,-44.65659
SMB004,smallmouthBass,228,228,228,73,7270,-50.58525804824561,0.873157116562963,-50.958908,-50.754250999999996,-47.641151
SMB005,smallmouthBass,48,48,48,875,5462,-44.82050245833333,2.168382169395285,-50.061837,-44.949539,-37.917648
SMB006,smallmouthBass,1071,1071,1071,145,10151,-45.3175093968254,0.904769239913294,-46.563907,-45.106346,-42.569581
SMB007,smallmouthBass,278,278,278,541,11592,-48.321908,4.011503351634945,-51.753758,-48.843117,-33.500392
SMB008,smallmouthBass,292,292,292,2246,7544,-52.265873044520546,0.8255807165980792,-53.578171,-52.62869,-49.657699
SMB009,smallmouthBass,14,14,14,1358,1397,-49.155153,0,-49.155153,-49.155153,-49.155153
SMB010,smallmouthBass,59,59,59,4637,8110,-44.20500303389831,3.6069050214169103,-51.169018,-42.998359,-35.3304
SMB011,smallmouthBass,25,25,25,837,6985,-45.76054244,2.939529357325194,-50.942502,-46.569447,-39.492271
SMB012,smallmouthBass,73,73,73,309,8948,-48.212269287671234,3.5465762725575374,-52.487382,-49.125043,-39.275913
SMB013,smallmouthBass,192,192,192,188,6158,-49.344891510416666,1.6880845749537323,-51.940925,-48.412616,-47.226318
