fishNum,species,n_pings,n_tracks,n_targets
LT001,lakeTrout,66,66,66
LT002,lakeTrout,750,750,750
LT003,lakeTrout,668,668,668
LT004,lakeTrout,463,463,463
LT005,lakeTrout,309,309,309
LT006,lakeTrout,140,140,140
LT007,lakeTrout,355,355,355
LT008,lakeTrout,183,183,183
LT009,lakeTrout,320,320,320
LT010,lakeTrout,16,16,16
LT011,lakeTrout,284,284,284
LT012,lakeTrout,170,170,170
LT013,lakeTrout,32,32,32
LT014,lakeTrout,1379,1379,1379
LT015,lakeTrout,32,32,32
LT016,lakeTrout,1064,1064,1064
LT017,lakeTrout,403,403,403
LT018,lakeTrout,60,60,60
LT019,lakeTrout,209,209,209
LT020,lakeTrout,213,213,213
LT021,lakeTrout,132,132,132
LWF001,lakeWhitefish,703,703,703
LWF002,lakeWhitefish,53,53,53
LWF003,lakeWhitefish,33,33,33
LWF007,lakeWhitefish,103,103,103
LWF009,lakeWhitefish,310,310,310
LWF010,lakeWhitefish,349,349,349
LWF011,lakeWhitefish,314,314,314
LWF012,lakeWhitefish,283,283,283
LWF013,lakeWhitefish,422,422,422
LWF014,lakeWhitefish,1619,1619,1619
LWF015,lakeWhitefish,69,69,96
SMB001,smallmouthBass,446,446,446
SMB002,smallmouthBass,316,316,316
SMB004,smallmouthBass,228,228,228
SMB005,smallmouthBass,48,48,48
SMB006,smallmouthBass,1071,1071,1071
SMB007,smallmouthBass,278,278,278
SMB008,smallmouthBass,292,292,292
SMB009,smallmouthBass,14,14,14
SMB010,smallmouthBass,59,59,59
SMB011,smallmouthBass,25,25,25
SMB012,smallmouthBass,73,73,73
SMB013,smallmouthBass,192,192,192
